Song,Artist,Download,View
Party Girl,StaySolidRocky,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,"772,734"
hot girl bummer,blackbear,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9,"769,148"
when the party's over,Billie Eilish,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,"763,378"
Godzilla (feat. Juice WRLD),Eminem,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,"759,634"
Smile (with The Weeknd),Juice WRLD,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,"759,463"
Eenie Meenie,"Sean Kingston, Justin Bieber",https://open.spotify.com/track/4vVTI94F9uJ8lHNDWKv0i2,"759,405"
Investe Em Mim,Jonas Esticado,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,"757,057"
Quiéreme Mientras Se Pueda,Manuel Turizo,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M,"755,744"
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,"753,468"
Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo",https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL,"752,750"
rockstar (feat. 21 Savage),Post Malone,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,"752,230"
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD,"745,996"
ALWAYS DO,The Kid LAROI,https://open.spotify.com/track/3QCU8BT0zDS9LPVfEhRFEE,"745,717"
Circles,Megan Thee Stallion,https://open.spotify.com/track/08TILUAN56HJoS1d9mNRty,"745,318"
Be Alright,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,"743,277"
GREECE (feat. Drake),DJ Khaled,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,"738,777"
Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,"738,611"
Body,Megan Thee Stallion,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa,"735,650"
Promiscuous,"Nelly Furtado, Timbaland",https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN,"735,535"
Be Kind (with Halsey),Marshmello,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,"734,531"
Don Don,"Daddy Yankee, Anuel AA, Kendo Kaponi",https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt,"734,368"
Runnin,"21 Savage, Metro Boomin",https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,"731,214"
